"","subject_id","child_gender","comp_sci_gender","similarities","similarities_are_code_1","learn_code","good_code","good_problem_solving","instructions_robot","find_mistakes","told_code","like_coding","learn_more","code_fun","code_interesting","code_future","code_subjects","code_useful","code_solve","code_job","friends_code_cool","parents_code_important","friends_code","kids_code_smarter","kids_code_sports","coders_math","coders_science","coders_lang_arts","myself_coding_score","sims_w_cs"
"1","VR005","F","M","Yes",1,"5","6","6","5","5","4","5","6","6","5","4","4","5","4","4","4","6","6","6","5","6","5","5",133,1
"2","VR006","F","F","Yes",0,"5","4","3","4","5","4","5","4","5","4","4","3","4","4","5","5","4","3","3","2","4","4","3",107,1
"3","VR010","F","F","Yes",0,"5","6","5","5","5","6","5","6","6","6","6","6","5","6","5","5","5","5","5","5","2","5","5",136,1
"4","VR011","F",NA,"No",NA,"6","5","5","5","6","5","4","5","6","6","4","5","6","6","4","5","5","4","4","4","4","5","4",129,0
"5","VR012","F","F","Yes",0,"5","5","6","4","5","4","6","4","6","5","3","6","6","6","2","6","6","3","4","3","6","5","4",126,1
"6","VR013","F","F","Yes",1,"5","4","5","4","6","5","6","5","4","6","5","6","5","4","3","5","5","6","4","6","4","5","5",129,1
"7","VR014","F","F","Yes",1,"6","5","5","5","6","5","5","6","6","6","6","6","6","6","5","6","6","6","2","2","2","5","2",131,1
"8","VR017","F","M","Yes",0,"5","1","6","5","5","1","5","1","1","5","1","1","5","5","2","1","1","1","6","2","1","2","1",81,1
"9","VR020","F","M","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","VR024","F","F","Yes",1,"6","4","6","6","6","6","6","6","4","6","4","4","6","4","1","4","6","6","1","1","1","6","6",122,1
"11","VR025","F","M","No",NA,"5","5","4","4","5","5","5","5","5","5","5","5","5","4","4","4","5","5","5","5","5","5","5",126,0
"12","VR031","F","F","Yes",NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",131,1
"13","VR033","F","F","Yes",1,"6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","4","6","4","1","2","2","2","2",128,1
"14","VR036","F","F","Yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","VR038","F","M","Yes",0,"5","4","4","5","4","3","5","6","5","6","5","6","6","4","5","4","6","2","4","4","6","6","2",123,1
"16","VR042","F","F","Yes",0,"4","4","4","5","3","5","4","4","5","6","6","3","4","4","4","3","6","6","1","1","6","4","3",111,1
"17","VR043","F","F","No",NA,"6","4","5","3","6","1","6","4","5","6","1","4","6","6","4","1","6","1","1","5","4","6","4",111,0
